Quebra;Quebra2;C�digo;Descri��o;Quantidade;Faturamento;Pre�o m�dio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participa��o;Acumulado;Classifica��o;ICMS ST;Fecop ST
"";;00000000002468;SAIOTE PARA DOCE 07CM RENDA VERDE ESCURO;1,000;0,98;0,98;0,70;0,00;0,00;0,28;28,57;40,00;0,00;0,11;;;
"";;00000000004968;KIT MAXTON TINTURA LOURO PLATINA CINZA 12.111 50G;1,000;7,99;7,99;8,00;0,00;0,00;-0,01;-0,13;-0,13;0,00;0,11;;;
"";;00000000003985;CERA DEPILADORA QUENTE TRADICIONAL GI BELEZA 300G;1,000;8,90;8,90;7,14;0,00;0,00;1,76;19,78;24,65;0,00;0,11;;;
"";;00000000003978;HIDRATANTE ROSAS BRANCAS TENTADORA PAIXAO 200ML;1,000;9,79;9,79;7,52;0,00;0,00;2,27;23,19;30,19;0,00;0,11;;;
"";;00000000004965;KIT MAXTON TINTURA LOURO CLARO ACINZENTADO 8.1 50G;1,000;8,51;8,51;8,00;0,00;0,00;0,51;5,99;6,38;0,00;0,11;;;
"";;00000000002470;SAIOTE PARA DOCE 07CM RENDA ROXO;1,000;0,98;0,98;0,70;0,00;0,00;0,28;28,57;40,00;0,00;0,11;;;
"";;00000000005666;REPARADOR DE PONTAS ARGAN FATTORE 30ML;1,000;7,90;7,90;6,07;0,00;0,00;1,83;23,16;30,15;0,00;0,11;;;
"";;00000000006080;SABONETE LIQUIDO ASEPLYNE ANTIBACTERIANO 200ML;1,000;8,99;8,99;7,68;0,00;0,00;1,31;14,57;17,06;0,00;0,11;;;
"";;00000000004959;TINTA NATUCOR  PRETO NATURAL 1.0 12G;1,000;12,90;12,90;9,86;0,00;0,00;3,04;23,57;30,83;0,00;0,11;;;
"";;00000000005784;COCO RALADO SUPER COCO UMIDO E ADOCADO 1KG;1,000;26,90;26,90;22,00;0,00;0,00;4,90;18,22;22,27;0,00;0,11;;;
"";;00000000000138;TOUCA REDE PROTETORA PRETA UN;1,000;0,69;0,69;0,50;0,00;0,00;0,19;27,54;38,00;0,00;0,11;;;
"";;00000000005375;SABAO BARRA YPE 900G NEUTRO C/5;1,000;11,90;11,90;9,00;0,00;0,00;2,90;24,37;32,22;0,00;0,11;;;
